Country (Name),State/Province,City,Latitude,Longitude
Taiwan,Pingtung County,Pingtung County,22.54950 ,120.62000 
Taiwan,Taipei City,Taipei City,25.04776 ,121.53185 
Taiwan,New Taipei City,New Taipei City,25.01427 ,121.46719 
Taiwan,Taichung City,Taichung City,24.14690 ,120.68390 
Taiwan,Changhua County,Changhua County,24.06667 ,120.53333 
Taiwan,Penghu County,Penghu County,23.58333 ,119.58333 
Taiwan,Hsinchu County,Hsinchu County,24.80361 ,120.96861 
Taiwan,Yunlin County,Yunlin County,23.12493 ,120.46138 
Taiwan,Chiayi County,Chiayi County,23.33340 ,120.45000 
Taiwan,Miaoli County,Miaoli County,24.56016 ,120.82143 
Taiwan,Nantou County,Nantou County,23.91566 ,120.66387 
Taiwan,Hsinchu City,Hsinchu City,24.78950 ,120.98900 
Taiwan,Taitung County,Taitung County,22.75830 ,121.14440 
Taiwan,Chiayi City,Chiayi City,23.33340 ,120.45000 
Taiwan,Yilan County,Yilan County,24.75700 ,121.75300 
Taiwan,Hualien County,Hualien County,23.97694 ,121.60444 
Taiwan,Keelung City,Keelung City,25.12825 ,121.74190 
Taiwan,Kinmen County,Kinmen County,24.44000 ,118.33000 
Taiwan,Lienchiang County,Lienchiang County,25.97166 ,119.93433 
